step,stage,instruction,target_color,latency_ms,raw_action7,assisted_action7,ee_pose_before,goal_xyz,target_xy_dist,exec_success,final_delta_xyz,gripper_cmd,target_object_z,target_object_lift
13,descend,grasp the blue cylinder,blue,359.9980999715626,"[0.0003526456236620304, 0.001253978701835663, -0.01450764265577948, 0.0, 0.0, 0.0, 0.0]","[0.00025401264429092407, 0.00047403573989868164, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.0853881910443306, 0.16163858771324158, 0.05415923148393631]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.0005378032219596207,True,"[0.00025401264429092407, 0.00047403573989868164, -0.008]",0.0,0.009926107712090015,-7.680151611566544e-05
14,descend,grasp the blue cylinder,blue,285.45870003290474,"[-0.00018668978233984598, -0.0005557481473307214, -0.0030607135132795105, 0.0, 0.0, 0.0, 0.0]","[0.00012113898992538452, 0.000229567289352417, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.08552106469869614, 0.16188305616378784, 0.04881567507982254]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.00025956847821362317,True,"[0.00012113898992538452, 0.000229567289352417, -0.008]",0.0,0.009947169572114944,-5.573965609073639e-05
15,descend,grasp the blue cylinder,blue,282.5548001565039,"[-0.00018668978233984598, -0.00040901353793885303, -0.0016178232852332962, 0.0, 0.0, 0.0, 0.996078431372549]","[8.346140384674072e-05, 0.0001583695411682129, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.08555874228477478, 0.16195425391197205, 0.04346178472042084]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.00017901597311720252,True,"[8.346140384674072e-05, 0.0001583695411682129, -0.008]",0.0,0.009905016981065273,-9.789224714040756e-05
16,descend,grasp the blue cylinder,blue,366.5597001090646,"[-9.68005480062005e-05, -0.00040901353793885303, -0.0016178232852332962, 0.0, 0.0, 0.0, 0.996078431372549]","[7.38874077796936e-05, 0.00014021992683410645, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.08556831628084183, 0.16197240352630615, 0.038106802850961685]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.00015849598275963217,True,"[7.38874077796936e-05, 0.00014021992683410645, -0.008]",0.0,0.010002506896853447,-4.023313522338867e-07
17,descend,grasp the blue cylinder,blue,281.67499997653067,"[0.0004425348579956776, 0.002036563285258964, 0.00040222303403140633, 0.0, 0.0, 0.0, 0.0]","[7.670372724533081e-05, 0.0001455247402191162, -0.00800000037997961, 0.0, 0.0, 0.0, 0.0]","[0.08556549996137619, 0.16196709871292114, 0.032749373465776443]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.00016450200928375125,True,"[7.670372724533081e-05, 0.0001455247402191162, -0.008]",0.0,0.009970958344638348,-3.195088356733322e-05
18,close,grasp the blue cylinder,blue,321.26230001449585,"[0.0004425348579956776, 0.0010583325559798374, 0.0038651595813423197, 0.0, 0.0, 0.0, 0.0]","[8.513033390045166e-05, 0.0001614391803741455, -0.00539012998342514, 0.0, 0.0, 0.0, 1.0]","[0.08555707335472107, 0.1619511842727661, 0.02739012986421585]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.00018250966968480498,True,"[8.513033390045166e-05, 0.0001614391803741455, -0.00539012998342514]",1.0,0.009876464493572712,-0.0001264447346329689
19,close,grasp the blue cylinder,blue,271.7275999020785,"[-9.68005480062005e-05, -0.00040901353793885303, -0.0016178232852332962, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.00017002224922180176, 0.0001498013734817505, -0.0019660815596580505, 0.0, 0.0, 0.0, 1.0]","[0.08581222593784332, 0.1619628220796585, 0.02396608144044876]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.00022660101240035146,True,"[-0.00017002224922180176, 0.0001498013734817505, -0.0019660815596580505]",1.0,0.00996556505560875,-3.734417259693146e-05
20,close,grasp the blue cylinder,blue,263.58949998393655,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.00027020275592803955, -3.139674663543701e-05, -0.0008003618568181992, 0.0, 0.0, 0.0, 1.0]","[0.08591240644454956, 0.1621440201997757, 0.02280036173760891]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.0002720207558013499,True,"[-0.00027020275592803955, -3.139674663543701e-05, -0.0008003618568181992]",1.0,0.00999018456786871,-1.2724660336971283e-05
21,close,grasp the blue cylinder,blue,287.14890009723604,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.00038310885429382324, -0.00026272237300872803, -0.0004175659269094467, 0.0, 0.0, 0.0, 1.0]","[0.08602531254291534, 0.162375345826149, 0.022417565807700157]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.00046453787945210934,True,"[-0.00038310885429382324, -0.00026272237300872803, -0.0004175659269094467]",1.0,0.010020263493061066,1.7354264855384827e-05
22,close,grasp the blue cylinder,blue,344.9448000174016,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.0004384443163871765, -0.00037598609924316406, -0.0002850797027349472, 0.0, 0.0, 0.0, 1.0]","[0.0860806480050087, 0.16248860955238342, 0.022285079583525658]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.0005775802419520915,True,"[-0.0004384443163871765, -0.00037598609924316406, -0.0002850797027349472]",1.0,0.010031471960246563,2.856273204088211e-05
23,close,grasp the blue cylinder,blue,315.8442999701947,"[-9.68005480062005e-05, -0.00040901353793885303, -0.0016178232852332962, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.0004633218050003052, -0.00042679905891418457, -0.00023687072098255157, 0.0, 0.0, 0.0, 1.0]","[0.08610552549362183, 0.16253942251205444, 0.022236870601773262]","[0.08564220368862152, 0.16211262345314026, 0.02199999988079071]",0.0006299401284195483,True,"[-0.0004633218050003052, -0.00042679905891418457, -0.00023687072098255157]",1.0,0.0100360456854105,3.3136457204818726e-05
24,lift,grasp the blue cylinder,blue,300.9190000593662,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[-0.0004747062921524048, -0.0004499852657318115, 0.00800000037997961, 0.0, 0.0, 0.0, 1.0]","[0.08611690998077393, 0.16256260871887207, 0.022219568490982056]","[0.08564220368862152, 0.16211262345314026, 0.08500000089406967]",0.0006540893227793276,True,"[-0.0004747062921524048, -0.0004499852657318115, 0.008]",1.0,0.012953072786331177,0.002950163558125496
25,lift,grasp the blue cylinder,blue,379.4420000631362,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[9.093433618545532e-05, 0.0001887679100036621, 0.00800000037997961, 0.0, 0.0, 0.0, 1.0]","[0.08555126935243607, 0.1619238555431366, 0.02651832439005375]","[0.08564220368862152, 0.16211262345314026, 0.08500000089406967]",0.00020952893828507513,True,"[9.093433618545532e-05, 0.0001887679100036621, 0.008]",1.0,0.01704750396311283,0.00704459473490715
26,lift,grasp the blue cylinder,blue,305.97230000421405,"[-6.911313672555014e-06, -1.7721246227202312e-05, 1.7452306552414795e-05, 0.0, 0.0, 0.0, 0.996078431372549]","[0.00021117925643920898, 0.0004000067710876465, 0.00800000037997961, 0.0, 0.0, 0.0, 1.0]","[0.08543102443218231, 0.1617126166820526, 0.031070875003933907]","[0.08564220368862152, 0.16211262345314026, 0.08500000089406967]",0.00045232963748276234,True,"[0.00021117925643920898, 0.0004000067710876465, 0.008]",1.0,0.02140738256275654,0.011404473334550858
27,lift,grasp the blue cylinder,blue,265.39009995758533,"[-0.00018668978233984598, -0.00040901353793885303, -0.0016178232852332962, 0.0, 0.0, 0.0, 0.996078431372549]","[0.00024360418319702148, 0.00046096742153167725, 0.00800000037997961, 0.0, 0.0, 0.0, 1.0]","[0.0853985995054245, 0.16165165603160858, 0.03560483828186989]","[0.08564220368862152, 0.16211262345314026, 0.08500000089406967]",0.0005213769618421793,True,"[0.00024360418319702148, 0.00046096742153167725, 0.008]",1.0,0.02586684562265873,0.01586393639445305
